               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.016402,           0.0066289,            0.011032,             0.95334,             0.82963,             0.89845,             0.78615,            0.012575,           0.0031817,            0.023602,            0.001684,            0.001684,            0.001684
                  86,            0.016661,           0.0070305,            0.010477,             0.81573,             0.92002,             0.93847,             0.82088,            0.013462,           0.0032078,             0.01984,            0.001585,            0.001585,            0.001585
                  87,            0.015717,           0.0069309,            0.010298,             0.82368,             0.89801,             0.91525,             0.79367,            0.012879,           0.0032248,            0.018659,            0.001486,            0.001486,            0.001486
                  88,            0.014826,           0.0065924,            0.010303,             0.82311,             0.90737,             0.91652,             0.81629,            0.012244,             0.00326,            0.017496,            0.001387,            0.001387,            0.001387
                  89,            0.015809,           0.0070132,             0.01054,             0.78522,             0.94122,             0.90845,             0.79341,            0.012377,           0.0034066,              0.0163,            0.001288,            0.001288,            0.001288
                  90,            0.015331,           0.0070092,           0.0092298,             0.87318,             0.89371,             0.92303,             0.81272,            0.012671,            0.003372,            0.016747,            0.001189,            0.001189,            0.001189
                  91,            0.015488,           0.0069913,           0.0090507,             0.81534,             0.95912,             0.94366,             0.82251,            0.013032,           0.0033507,            0.017937,             0.00109,             0.00109,             0.00109
                  92,            0.015092,           0.0065683,           0.0091472,             0.82726,             0.94471,             0.94534,             0.81773,            0.013115,           0.0033734,            0.020311,            0.000991,            0.000991,            0.000991
                  93,            0.014221,           0.0068301,           0.0098399,             0.84968,             0.94735,             0.94793,             0.83567,            0.012946,           0.0033106,            0.019278,            0.000892,            0.000892,            0.000892
                  94,            0.014572,           0.0066028,           0.0089412,             0.82673,             0.95733,             0.94641,             0.82639,            0.012721,           0.0033561,              0.0168,            0.000793,            0.000793,            0.000793
                  95,            0.014083,           0.0066705,           0.0079764,             0.82212,             0.94087,             0.94772,             0.82838,            0.013204,           0.0033737,            0.018543,            0.000694,            0.000694,            0.000694
                  96,             0.01411,            0.006397,           0.0089474,             0.79258,             0.96187,             0.94299,             0.82311,            0.013119,           0.0033698,            0.017185,            0.000595,            0.000595,            0.000595
                  97,            0.013866,           0.0066873,           0.0095045,             0.78978,             0.91668,             0.93367,             0.81763,             0.01305,           0.0034182,            0.016732,            0.000496,            0.000496,            0.000496
                  98,            0.014837,           0.0065645,           0.0071116,             0.80657,             0.93109,             0.93679,             0.82129,            0.013129,           0.0035092,            0.017489,            0.000397,            0.000397,            0.000397
                  99,            0.014195,           0.0066441,           0.0084941,             0.85035,             0.90079,             0.92687,             0.82875,            0.012791,           0.0034712,            0.017063,            0.000298,            0.000298,            0.000298
